rxcui,atc
1008559,['B03AD02']
389132,['R03AK07']
1009148,['J01CR04']
647235,['A10BD06']
284623,['P01BB51']
1734635,['J05AP54']
1006975,['J01EE07']
135095,['N02AJ07']
34482,['J01DH51']
636632,['G03AA17']
1007976,['B06AA02']
2262025,['A02BD16']
284635,['R03AK06']
840781,['G03AA12']
614348,['A10BD03']
1008145,['J05AR03']
284640,['J05AR10']
1996259,['J05AR20']
1007761,['J05AR06']
1429469,['J01RA04']
729717,['A10BD07']
729455,['C09DB01']
2557234,['J06BD07']
214662,['J04AM05']
994202,['M01AE52']
1002293,['R03AK09']
324044,"['G03AA09', 'G03AB05']"
608868,"['G03AA10', 'G03AB06']"
214866,['C09BB10']
134413,"['C05BA04', 'G04BX15']"
7983,['J01CE09']
1303097,['R03BB05']
40036,['D08AJ08']
56501,"['A01AA02', 'A12CD02']"
705022,"['R01AD12', 'R03BA09']"
1488293,['B02BD11']
103468,['D07AB02']
4608,"['D06AX01', 'D09AA02', 'J01XC01', 'S01AA13']"
10989,['D01AE04']
28004,['C01DA14']
9881,['D08AX07']
4461,"['C05AA10', 'D07AC04', 'S01BA15', 'S02BA08']"
203212,"['R01AX03', 'R03BB01']"
84375,['L03AX13']
40144,['H03AA01']
11065,['A05AA02']
71722,['A06AA02']
142448,['H03AA02']
7982,['J01CE08']
236083,['M05BA04']
28393,['G01AD01']
1918,"['A11HA31', 'D03AX04']"
283550,['G03GA08']
227312,['V04CH02']
225852,['V03AF03']
33688,['A06AB08']
1492940,['V09AX06']
18602,['D10AX03']
235418,['N02BA12']
115265,['M05BA06']
2607,['N05BA05']
202723,['N04AB02']
118463,['C09CA08']
333848,['L01XD01']
52259,['C05BA02']
1305558,['V09GX05']
226724,['V04CX05']
1592899,['B02BD14']
2053281,"['V09IX02', 'V10XA02']"
1371041,['L01FD03']
2264108,['B02BB01']
142136,['L03AX14']
